Account ID,,,,,,,,,,,,,
43546666-87bf-47d5-ac3c-735186a6dfe1,,,,,,,,,,,,,
Reporting Period,Accounting Period,Artist(s),Release,Track,UPC,ISRC,Partner,Country,Type,Units,Revenue (USD),Revenue Share (%),Split Pay Share (%)
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,Tú y Yo,7.34168E+11,QZS652388451,Apple Music,US,Unknown Stream,37,0.1563848,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,Quédate,7.34168E+11,QM42K2355071,Apple Music,AU,Unknown Stream,1,0.0036467,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,Quédate,7.34168E+11,QM42K2355071,Apple Music,US,Unknown Stream,48,0.2002248,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,Déjenme,7.34168E+11,QZS632379385,Apple Music,AU,Unknown Stream,1,0.0036467,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,Déjenme,7.34168E+11,QZS632379385,Apple Music,US,Unknown Stream,35,0.1431832,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,La Vida es Una Muerte Que Viene,7.34168E+11,QZS642379955,Apple Music,AU,Unknown Stream,1,0.0036467,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,La Vida es Una Muerte Que Viene,7.34168E+11,QZS642379955,Apple Music,US,Unknown Stream,40,0.1766872,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,Otro Mundo,7.34168E+11,QZMHL2318427,Apple Music,US,Unknown Stream,27,0.1083288,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,Quizás Podemos,7.34168E+11,QZMHK2399859,Amazon Music,US,Sub Stream,1,0.0059296,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,A Ver,7.34168E+11,QM42K2309623,Amazon Music,US,Sub Stream,2,0.0118592,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,Sé Que,7.34168E+11,QZMHN2381628,Amazon Music,US,Sub Stream,2,0.0118592,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,Tú y Yo,7.34168E+11,QZS652388451,Amazon Music,US,Sub Stream,2,0.0118592,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,Quédate,7.34168E+11,QM42K2355071,Amazon Music,US,Sub Stream,2,0.0118592,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,Déjenme,7.34168E+11,QZS632379385,Amazon Music,US,Sub Stream,2,0.0118592,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,Quizás Podemos,7.34168E+11,QZMHK2399859,Tidal,US,Sub Stream,1,0.0047616,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,A Ver,7.34168E+11,QM42K2309623,Tidal,US,Sub Stream,1,0.0047616,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,Sin Tiempo,7.34168E+11,QM42K2355776,Tidal,US,Sub Stream,1,0.0047616,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,Sé Que,7.34168E+11,QZMHN2381628,Tidal,US,Sub Stream,1,0.0047616,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,Tú y Yo,7.34168E+11,QZS652388451,Tidal,US,Sub Stream,2,0.0095232,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,Déjenme,7.34168E+11,QZS632379385,Tidal,US,Sub Stream,2,0.0095232,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,La Vida es Una Muerte Que Viene,7.34168E+11,QZS642379955,Tidal,US,Sub Stream,1,0.0047616,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,Otro Mundo,7.34168E+11,QZMHL2318427,Tidal,US,Sub Stream,2,0.0095232,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,Quizás Podemos,7.34168E+11,QZMHK2399859,Pandora,US,Unknown Stream,1,0.002772,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,A Ver,7.34168E+11,QM42K2309623,Pandora,US,Unknown Stream,1,0.002772,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,Sin Tiempo,7.34168E+11,QM42K2355776,Pandora,US,Unknown Stream,1,0.002772,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,Sé Que,7.34168E+11,QZMHN2381628,Pandora,US,Unknown Stream,2,0.005544,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,Tú y Yo,7.34168E+11,QZS652388451,Pandora,US,Unknown Stream,2,0.005544,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,Quédate,7.34168E+11,QM42K2355071,Pandora,US,Unknown Stream,2,0.005544,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,Déjenme,7.34168E+11,QZS632379385,Pandora,US,Unknown Stream,1,0.002772,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,La Vida es Una Muerte Que Viene,7.34168E+11,QZS642379955,Pandora,US,Unknown Stream,2,0.005544,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,Sin Tiempo,7.34168E+11,QM42K2355776,NetEase,CN,Unknown Stream,1,0.0007269,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,A Ver,7.34168E+11,QM42K2309623,Facebook,,Unknown Stream,1,0.0011143,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,Sé Que,7.34168E+11,QZMHN2381628,Facebook,BR,Unknown Stream,10,0.0093336,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,Sé Que,7.34168E+11,QZMHN2381628,Facebook,US,Unknown Stream,7,0.0287024,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,Tú y Yo,7.34168E+11,QZS652388451,Facebook,,Unknown Stream,1,0.0011143,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,Déjenme,7.34168E+11,QZS632379385,Facebook,BR,Unknown Stream,10,0.0093336,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,Déjenme,7.34168E+11,QZS632379385,Facebook,ES,Unknown Stream,5,0.0120208,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,Déjenme,7.34168E+11,QZS632379385,Facebook,HN,Unknown Stream,4,0.0040198,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,Otro Mundo,7.34168E+11,QZMHL2318427,Facebook,,Unknown Stream,1,0.0011143,80,100
2023-05,2023-07,,La Vida Es Una Muerte Que Viene,Quizás Podemos,7.34168E+11,QZMHK2399859,Spotify,CL,Unknown Stream,1,0.0019268,80,100
2023-05,2023-07,,La Vida Es Una Muerte Que Viene,Quizás Podemos,7.34168E+11,QZMHK2399859,Spotify,DE,Unknown Stream,11,0.0139626,80,100
2023-05,2023-07,,La Vida Es Una Muerte Que Viene,Quizás Podemos,7.34168E+11,QZMHK2399859,Spotify,PE,Unknown Stream,1,0.0006279,80,100
2023-05,2023-07,,La Vida Es Una Muerte Que Viene,Quizás Podemos,7.34168E+11,QZMHK2399859,Spotify,US,Unknown Stream,46,0.1162431,80,100
2023-05,2023-07,,La Vida Es Una Muerte Que Viene,A Ver,7.34168E+11,QM42K2309623,Spotify,US,Unknown Stream,37,0.0894974,80,100
2023-05,2023-07,,La Vida Es Una Muerte Que Viene,Sin Tiempo,7.34168E+11,QM42K2355776,Spotify,US,Unknown Stream,39,0.0934891,80,100
2023-05,2023-07,,La Vida Es Una Muerte Que Viene,Sé Que,7.34168E+11,QZMHN2381628,Spotify,US,Unknown Stream,47,0.1238751,80,100
2023-05,2023-07,,La Vida Es Una Muerte Que Viene,Tú y Yo,7.34168E+11,QZS652388451,Spotify,US,Unknown Stream,40,0.1002348,80,100
2023-05,2023-07,,La Vida Es Una Muerte Que Viene,Quédate,7.34168E+11,QM42K2355071,Spotify,JP,Unknown Stream,1,0.0033652,80,100
2023-05,2023-07,,La Vida Es Una Muerte Que Viene,Quédate,7.34168E+11,QM42K2355071,Spotify,US,Unknown Stream,41,0.104905,80,100
2023-05,2023-07,,La Vida Es Una Muerte Que Viene,Déjenme,7.34168E+11,QZS632379385,Spotify,US,Unknown Stream,40,0.0996789,80,100
2023-05,2023-07,,La Vida Es Una Muerte Que Viene,La Vida es Una Muerte Que Viene,7.34168E+11,QZS642379955,Spotify,DE,Unknown Stream,19,0.0361613,80,100
2023-05,2023-07,,La Vida Es Una Muerte Que Viene,La Vida es Una Muerte Que Viene,7.34168E+11,QZS642379955,Spotify,GB,Unknown Stream,2,0.005702,80,100
2023-05,2023-07,,La Vida Es Una Muerte Que Viene,La Vida es Una Muerte Que Viene,7.34168E+11,QZS642379955,Spotify,PE,Unknown Stream,1,0.0006279,80,100
2023-05,2023-07,,La Vida Es Una Muerte Que Viene,La Vida es Una Muerte Que Viene,7.34168E+11,QZS642379955,Spotify,US,Unknown Stream,54,0.1493159,80,100
2023-05,2023-07,,La Vida Es Una Muerte Que Viene,Otro Mundo,7.34168E+11,QZMHL2318427,Spotify,US,Unknown Stream,43,0.1119573,80,100
2023-05,2023-07,Leila Mendes,,Quizás Podemos,,QZMHK2399859,YouTube Music,DE,YouTube Music Ad Views,1,0,80,100
