Date Inserted	Reporting Date	Sale Month	Store	Artist	Title	ISRC	UPC	Quantity	Team Percentage	Song/Album	Country of Sale	Songwriter Royalties Withheld (USD)	Earnings (USD)	Recoup (USD)
2025-12-07	2025-12-07	2025-09	Facebook	The Face	Baby with a Mustache	QZFYW2139633	195920981253	1	100	Song	US	0	0.00004022	0.00000000
2025-12-07	2025-12-07	2025-09	Facebook	Nuve	Khmer	QZFYW2139618	195920986432	1	100	Song	OU	0	0.00004022	0.00000000
2025-12-07	2025-12-07	2025-09	Facebook	Nuve	Khmer	QZFYW2139618	195920986432	1	100	Song	US	0	0.00004022	0.00000000
2025-12-07	2025-12-07	2025-08	NetEase	The Face	Violent Onsen Geishas (feat. Keek)	QZFYW2139632	195920981253	2	100	Song	US	0	0.00018711	0.00000000
2025-11-28	2025-11-28	2025-10	Apple Music	The Face	Mercury Will Burn First (feat. Matthew Houston)	QZFYW2139640	195920981253	2	100	Song	FR	0	0.00639543	0.00000000
2025-11-28	2025-11-28	2025-10	Apple Music	Nuve	Khmer	QZFYW2139618	195920986432	1	100	Song	PH	0	0.00069899	0.00000000
2025-11-28	2025-11-28	2025-10	Apple Music	Nuve	Sama Sama	QZFYW2139616	195920986432	1	100	Song	IN	0	0.00158657	0.00000000
2025-11-28	2025-11-28	2025-10	Apple Music	Nuve	Sama Sama	QZFYW2139616	195920986432	1	100	Song	US	0	0.00471162	0.00000000
2025-11-28	2025-11-28	2025-10	Apple Music	Nuve	Penumbra	QZFYW2138573	195920987712	1	100	Song	NL	0	0.02158042	0.00000000
2025-11-28	2025-11-28	2025-10	Apple Music	Nuve	Penumbra	QZFYW2138573	195920987712	1	100	Song	IN	0	0.00155522	0.00000000
2025-11-28	2025-11-28	2025-10	Apple Music	Nuve	Penumbra	QZFYW2138573	195920987712	2	100	Song	US	0	0.01682294	0.00000000
2025-11-28	2025-11-28	2025-10	Apple Music	Nuve	Umbra (Es Hermoso)	QZFYW2138572	195920987712	1	100	Song	ID	0	0.00089054	0.00000000
2025-11-28	2025-11-28	2025-10	Apple Music	Nuve	The New Cult	QZFYW2139615	195920988948	1	100	Song	DE	0	0.00541409	0.00000000
2025-11-28	2025-11-28	2025-10	Apple Music	Nuve	DeBachin	QZFYW2139613	195920988948	1	100	Song	TR	0	0.00042786	0.00000000
2025-11-18	2025-11-18	2025-09	Amazon Prime (Streaming)	The Face	Confetti Memories	QZPLR2080224	195920977126	1	100	Song	DE	0	0.00198880	0.00000000
2025-11-18	2025-11-18	2025-09	Amazon Prime (Streaming)	The Face	La Piel de la Memoria	QZFYW2139641	195920981253	1	100	Song	ES	0	0.00116053	0.00000000
2025-11-18	2025-11-18	2025-09	Amazon Prime (Streaming)	The Face	Out Loud Not Allowed	QZFYW2139634	195920981253	1	100	Song	CA	0	0.00305739	0.00000000
2025-11-18	2025-11-18	2025-09	Amazon Prime (Streaming)	The Face	Baby with a Mustache	QZFYW2139633	195920981253	1	100	Song	ES	0	0.00116053	0.00000000
2025-11-04	2025-11-04	2025-06	Tencent Direct Deal	Nuve	Khmer	QZFYW2139618	195920986432	1	100	Song	CN	0	0.00072377	0.00000000
2025-11-04	2025-11-04	2025-04	Tencent Direct Deal	Nuve	Khmer	QZFYW2139618	195920986432	2	100	Song	CN	0	0.00014657	0.00000000
2025-11-04	2025-11-04	2025-04	Tencent Direct Deal	Nuve	Sama Sama	QZFYW2139616	195920986432	1	100	Song	CN	0	0.00128948	0.00000000
2025-11-03	2025-11-03	2025-08	Facebook	The Face	Dr. Caligari	QZPLR2080228	195920977126	1	100	Song	US	0	0.00097477	0.00000000
2025-11-03	2025-11-03	2025-08	Facebook	Nuve	Khmer	QZFYW2139618	195920986432	4	100	Song	OU	0	0.00015273	0.00000000
2025-11-03	2025-11-03	2025-08	Facebook	Nuve	Khmer	QZFYW2139618	195920986432	8	100	Song	US	0	0.00030546	0.00000000
2025-11-03	2025-11-03	2025-08	Facebook	Nuve	DeBachin	QZFYW2139613	195920988948	1	100	Song	US	0	0.00097477	0.00000000
2025-11-03	2025-11-03	2025-07	Facebook	Nuve	Khmer	QZFYW2139618	195920986432	3	100	Song	OU	0	0.00005433	0.00000000
2025-11-03	2025-11-03	2025-07	Facebook	Nuve	Khmer	QZFYW2139618	195920986432	6	100	Song	US	0	0.00010866	0.00000000
2025-11-03	2025-11-03	2025-07	Facebook	Nuve	Umbra (Es Hermoso)	QZFYW2138572	195920987712	1	100	Song	OU	0	0.00001811	0.00000000
2025-11-03	2025-11-03	2025-07	Facebook	Nuve	Umbra (Es Hermoso)	QZFYW2138572	195920987712	1	100	Song	US	0	0.00001811	0.00000000
2025-11-03	2025-11-03	2025-07	Facebook	Nuve	DeBachin	QZFYW2139613	195920988948	1	100	Song	OU	0	0.00058367	0.00000000
2025-11-03	2025-11-03	2025-03	BoomplayCMS	Nuve	Sama Sama	QZFYW2139616	195920986432	1	100	Song	IN	0	0.00004752	0.00000000
2025-11-03	2025-11-03	2025-03	Tencent Direct Deal	Nuve	Khmer	QZFYW2139618	195920986432	3	100	Song	CN	0	0.00021802	0.00000000
2025-11-03	2025-11-03	2025-03	Tencent Direct Deal	Nuve	Khmer	QZFYW2139618	195920986432	1	100	Song	CN	0	0.00008287	0.00000000
2025-11-03	2025-11-03	2025-02	BoomplayCMS	Nuve	Khmer	QZFYW2139618	195920986432	1	100	Song	IN	0	0.00004752	0.00000000
2025-11-03	2025-11-03	2025-02	BoomplayCMS	Nuve	Khmer	QZFYW2139618	195920986432	1	100	Song	KH	0	0.00004752	0.00000000
2025-11-03	2025-11-03	2025-02	Tencent Direct Deal	Nuve	Khmer	QZFYW2139618	195920986432	2	100	Song	CN	0	0.00013606	0.00000000
2025-11-03	2025-11-03	2025-01	BoomplayCMS	Nuve	Sama Sama	QZFYW2139616	195920986432	1	100	Song	PH	0	0.00004752	0.00000000
2025-10-25	2025-10-25	2025-09	Apple Music	The Face	Mercury Will Burn First (feat. Matthew Houston)	QZFYW2139640	195920981253	1	100	Song	FR	0	0.00893649	0.00000000
2025-10-25	2025-10-25	2025-09	Apple Music	Nuve	Khmer	QZFYW2139618	195920986432	1	100	Song	PH	0	0.00072369	0.00000000
2025-10-24	2025-10-24	2025-09	YouTube (Ads)	The Face	Confetti Memories	QZPLR2080224	195920977126	1	100	Song	ID	0	0.00016072	0.00000000
2025-10-15	2025-10-15	2025-08	Amazon Prime (Streaming)	The Face	Baby with a Mustache	QZFYW2139633	195920981253	1	100	Song	US	0	0.00426366	0.00000000
2025-10-15	2025-10-15	2025-08	Amazon Prime (Streaming)	Nuve	Dalat Fi (feat. Tammy)	QZFYW2139617	195920986432	1	100	Song	ES	0	0.00111325	0.00000000
2025-10-15	2025-10-15	2025-08	Amazon Prime (Streaming)	Nuve	Penumbra	QZFYW2138573	195920987712	1	100	Song	US	0	0.00213183	0.00000000
2025-10-15	2025-10-15	2025-08	Amazon Prime (Streaming)	Nuve	Umbra (Es Hermoso)	QZFYW2138572	195920987712	1	100	Song	US	0	0.00213183	0.00000000
2025-09-26	2025-09-26	2025-08	YouTube (Red)	The Face	La Piel de la Memoria	QZFYW2139641	195920981253	1	100	Song	TH	0	0.00152070	0.00000000
2025-09-23	2025-09-23	2025-08	Apple Music	The Face	Mercury Will Burn First (feat. Matthew Houston)	QZFYW2139640	195920981253	1	100	Song	BE	0	0.01129521	0.00000000
2025-09-17	2025-09-17	2025-07	TikTok	Nuve	Khmer	QZFYW2139618	195920986432	1	100	Song	NG	0	0.00099630	0.00000000
2025-09-17	2025-09-17	2025-07	Amazon Prime (Streaming)	The Face	Baby with a Mustache	QZFYW2139633	195920981253	1	100	Song	US	0	0.00427019	0.00000000
2025-09-17	2025-09-17	2025-07	Amazon Prime (Streaming)	The Face	Violent Onsen Geishas (feat. Keek)	QZFYW2139632	195920981253	1	100	Song	FR	0	0.00433472	0.00000000
2025-09-17	2025-09-17	2025-06	Facebook	Nuve	Khmer	QZFYW2139618	195920986432	3	100	Song	OU	0	0.00005412	0.00000000
2025-09-17	2025-09-17	2025-06	Facebook	Nuve	Khmer	QZFYW2139618	195920986432	13	100	Song	US	0	0.00023452	0.00000000
2025-09-17	2025-09-17	2025-06	Facebook	Nuve	Umbra (Es Hermoso)	QZFYW2138572	195920987712	1	100	Song	OU	0	0.00001804	0.00000000
2025-09-17	2025-09-17	2025-06	Facebook	Nuve	DeBachin	QZFYW2139613	195920988948	2	100	Song	OU	0	0.00105222	0.00000000
2025-08-27	2025-08-27	2025-07	Apple Music	The Face	Mercury Will Burn First (feat. Matthew Houston)	QZFYW2139640	195920981253	1	100	Song	FR	0	0.00503122	0.00000000
2025-08-27	2025-08-27	2025-07	Apple Music	The Face	The Perplexed Circumstance	QZFYW2139630	195920981253	1	100	Song	US	0	0.00460711	0.00000000
2025-08-19	2025-08-19	2025-06	Amazon Prime (Streaming)	The Face	Baby with a Mustache	QZFYW2139633	195920981253	1	100	Song	GB	0	0.00432591	0.00000000
2025-08-19	2025-08-19	2025-06	Amazon Prime (Streaming)	The Face	Baby with a Mustache	QZFYW2139633	195920981253	3	100	Song	US	0	0.01068016	0.00000000
2025-08-19	2025-08-19	2025-06	Amazon Prime (Streaming)	Nuve	Dalat Fi (feat. Tammy)	QZFYW2139617	195920986432	1	100	Song	ES	0	0.00109965	0.00000000
2025-08-19	2025-08-19	2025-06	Amazon Prime (Streaming)	Nuve	Sama Sama	QZFYW2139616	195920986432	1	100	Song	ES	0	0.00109965	0.00000000
2025-08-19	2025-08-19	2025-06	Amazon Prime (Streaming)	Nuve	Umbra (Es Hermoso)	QZFYW2138572	195920987712	1	100	Song	ES	0	0.00109965	0.00000000
2025-08-13	2025-08-13	2024-11	Tencent Direct Deal	Nuve	Khmer	QZFYW2139618	195920986432	2	100	Song	CN	0	0.00014417	0.00000000
2025-08-13	2025-08-13	2024-11	Tencent Direct Deal	Nuve	Khmer	QZFYW2139618	195920986432	2	100	Song	CN	0	0.00017922	0.00000000
2025-08-13	2025-08-13	2024-10	Luna	The Face	Anesthesia	QZPLR2080226	195920977126	1	100	Song	CN	0	0.00051639	0.00000000
2025-08-13	2025-08-13	2024-06	Luna	The Face	Anesthesia	QZPLR2080226	195920977126	19	100	Song	CN	0	0.00220571	0.00000000
2025-08-13	2025-08-13	2024-05	Luna	The Face	Anesthesia	QZPLR2080226	195920977126	1	100	Song	CN	0	0.00014371	0.00000000
2025-08-01	2025-08-01	2024-12	BoomplayCMS	Nuve	Khmer	QZFYW2139618	195920986432	1	100	Song	KH	0	0.00004753	0.00000000
2025-08-01	2025-08-01	2024-12	BoomplayCMS	Nuve	Khmer	QZFYW2139618	195920986432	1	100	Song	US	0	0.00004753	0.00000000
2025-08-01	2025-08-01	2024-12	BoomplayCMS	Nuve	Sama Sama	QZFYW2139616	195920986432	1	100	Song	PH	0	0.00004753	0.00000000
2025-08-01	2025-08-01	2024-11	BoomplayCMS	Nuve	Khmer	QZFYW2139618	195920986432	1	100	Song	KH	0	0.00004753	0.00000000
2025-08-01	2025-08-01	2024-11	BoomplayCMS	Nuve	Sama Sama	QZFYW2139616	195920986432	1	100	Song	OT	0	0.00004753	0.00000000
2025-08-01	2025-08-01	2024-11	BoomplayCMS	Nuve	Sama Sama	QZFYW2139616	195920986432	1	100	Song	US	0	0.00004753	0.00000000
2025-08-01	2025-08-01	2024-10	BoomplayCMS	Nuve	Khmer	QZFYW2139618	195920986432	2	100	Song	KH	0	0.00009505	0.00000000
2025-08-01	2025-08-01	2024-10	BoomplayCMS	Nuve	Sama Sama	QZFYW2139616	195920986432	1	100	Song	OT	0	0.00004753	0.00000000
2025-08-01	2025-08-01	2024-09	BoomplayCMS	Nuve	Khmer	QZFYW2139618	195920986432	14	100	Song	KH	0	0.00066536	0.00000000
2025-08-01	2025-08-01	2024-09	BoomplayCMS	Nuve	Sama Sama	QZFYW2139616	195920986432	1	100	Song	KH	0	0.00004753	0.00000000
2025-08-01	2025-08-01	2024-07	BoomplayCMS	Nuve	Khmer	QZFYW2139618	195920986432	1	100	Song	KH	0	0.00004753	0.00000000
2025-08-01	2025-08-01	2024-07	BoomplayCMS	Nuve	Khmer	QZFYW2139618	195920986432	6	100	Song	TW	0	0.00028516	0.00000000
2025-07-24	2025-07-24	2025-06	Apple Music	The Face	Allegoric Red	QZPLR2080229	195920977126	1	100	Song	GB	0	0.01361647	0.00000000
2025-07-24	2025-07-24	2025-06	Apple Music	The Face	Allegoric Red	QZPLR2080229	195920977126	1	100	Song	MX	0	0.00359633	0.00000000
2025-07-24	2025-07-24	2025-06	Apple Music	The Face	Allegoric Red	QZPLR2080229	195920977126	1	100	Song	CR	0	0.00588325	0.00000000
2025-07-24	2025-07-24	2025-06	Apple Music	The Face	Through Silhouettes	QZPLR2080227	195920977126	1	100	Song	TW	0	0.00229546	0.00000000
2025-07-24	2025-07-24	2025-06	Apple Music	The Face	Anesthesia	QZPLR2080226	195920977126	1	100	Song	MX	0	0.00173461	0.00000000
2025-07-24	2025-07-24	2025-06	Apple Music	The Face	Time and Space	QZPLR2080225	195920977126	1	100	Song	MX	0	0.00173461	0.00000000
2025-07-24	2025-07-24	2025-06	Apple Music	The Face	La Piel de la Memoria	QZFYW2139641	195920981253	1	100	Song	MX	0	0.00173461	0.00000000
2025-07-24	2025-07-24	2025-06	Apple Music	The Face	Baby with a Mustache	QZFYW2139633	195920981253	4	100	Song	US	0	0.03017130	0.00000000
2025-07-24	2025-07-24	2025-06	Apple Music	The Face	Anomie	QZFYW2139631	195920981253	1	100	Song	MX	0	0.00173461	0.00000000
2025-07-24	2025-07-24	2025-06	Apple Music	The Face	The Perplexed Circumstance	QZFYW2139630	195920981253	1	100	Song	CO	0	0.00350682	0.00000000
2025-07-24	2025-07-24	2025-06	Apple Music	The Face	The Perplexed Circumstance	QZFYW2139630	195920981253	2	100	Song	US	0	0.01220553	0.00000000
2025-07-23	2025-07-23	2025-06	Apple Music	The Face	Anesthesia	QZPLR2080226	195920977126	1	100	Song	JP	0	0.00494141	0.00000000
